wall_time_iso,unix_time,episode,area_id,cycle_index,subcycle_index,agent_id,collectible_allowed_id,reward_amount,agent_pos_x,agent_pos_z,cumulative_reward_after,group_reward_step
2025-08-18T01:19:20.552Z,1755479960.552,1,6,2,2,4,0,1,-33.9113,9.0545,12,0
2025-08-18T01:19:20.754Z,1755479960.755,1,10,2,2,4,4,4,109.1559,-45.2328,14,0
2025-08-18T01:19:22.712Z,1755479962.712,1,5,2,3,3,0,1,-26.0902,-10.1285,6,0
2025-08-18T01:19:22.744Z,1755479962.745,1,8,2,3,4,4,4,173.3219,-7.8865,5,0
2025-08-18T01:19:22.821Z,1755479962.822,1,1,2,3,4,0,1,14.0228,-27.9665,2,0
2025-08-18T01:19:23.232Z,1755479963.232,1,6,2,3,1,0,1,23.1140,24.3096,6,0
2025-08-18T01:19:23.828Z,1755479963.829,1,9,2,3,3,0,1,150.3583,-31.7467,1,0
2025-08-18T01:19:23.954Z,1755479963.954,1,9,2,3,4,4,4,121.8786,33.0589,6,0
2025-08-18T01:19:23.973Z,1755479963.974,1,9,2,3,3,0,1,143.1521,-31.0817,2,0
2025-08-18T01:19:24.992Z,1755479964.993,1,8,2,3,2,0,1,97.8979,-24.6137,10,0
2025-08-18T01:19:26.757Z,1755479966.758,1,0,2,3,3,3,4,-37.3019,38.7239,4,0
2025-08-18T01:19:26.777Z,1755479966.777,1,5,2,3,3,3,4,-15.0969,-32.9388,10,0
2025-08-18T01:19:26.807Z,1755479966.808,1,12,2,3,4,4,4,148.8661,34.4957,5,0
2025-08-18T01:19:26.987Z,1755479966.988,1,10,2,3,2,0,1,152.1677,-22.3040,2,0
2025-08-18T01:19:27.002Z,1755479967.002,1,14,2,3,2,0,1,152.7759,25.1951,8,0
2025-08-18T01:19:27.318Z,1755479967.319,1,10,2,3,4,0,1,113.6862,-23.4754,15,0
2025-08-18T01:19:27.878Z,1755479967.878,1,13,2,3,2,2,4,98.2685,22.3564,7,0
2025-08-18T01:19:28.464Z,1755479968.464,1,12,2,3,3,3,4,101.5183,-14.3680,8,0
2025-08-18T01:19:28.599Z,1755479968.600,1,0,2,3,1,0,1,29.8215,25.8525,5,0
2025-08-18T01:19:29.417Z,1755479969.418,1,13,2,3,3,3,4,164.6683,-10.4780,8,0
2025-08-18T01:19:29.500Z,1755479969.500,1,1,2,3,2,0,1,-26.8398,28.4078,1,0
2025-08-18T01:19:29.613Z,1755479969.613,1,12,2,3,1,1,4,118.3119,-30.3851,13,0
2025-08-18T01:19:29.698Z,1755479969.698,1,15,2,3,4,4,4,106.5972,26.1507,5,0
2025-08-18T01:19:40.006Z,1755479980.006,2,0,0,0,1,0,1,42.9056,-9.8320,1,0
2025-08-18T01:19:40.229Z,1755479980.230,2,6,0,0,1,0,1,-6.9485,20.7982,1,0
2025-08-18T01:19:40.435Z,1755479980.435,2,8,0,0,3,0,1,103.1092,41.7994,1,0
2025-08-18T01:19:40.478Z,1755479980.478,2,0,0,0,4,0,1,43.6075,37.8206,1,0
2025-08-18T01:19:40.607Z,1755479980.608,2,3,0,0,2,0,1,29.7918,10.3398,1,0
2025-08-18T01:19:40.781Z,1755479980.781,2,3,0,0,2,2,4,38.2700,25.7817,5,0
2025-08-18T01:19:40.994Z,1755479980.994,2,2,0,0,1,0,1,16.0182,-13.7961,1,0
2025-08-18T01:19:43.352Z,1755479983.352,2,3,0,0,4,0,1,-14.4454,12.0000,1,0
2025-08-18T01:19:43.613Z,1755479983.613,2,8,0,0,4,0,1,112.0321,44.0227,1,0
2025-08-18T01:19:43.709Z,1755479983.710,2,14,0,0,3,0,1,169.0976,23.3941,1,0
2025-08-18T01:19:43.770Z,1755479983.770,2,9,0,0,1,0,1,94.0852,-36.6566,1,0
